""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Oct 04,2021"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,220986,153811,1215937,231318,1711141,1590141,1744840,1858964,713528,201194,458284,339806,5652927,4787023
DII,6320,84028,31545,1332633,401,55474,0,0,0,0,18255,0,93740,1434916
FII,84369,66128,750361,627968,393713,471028,253664,249855,48418,50604,78248,44440,1798493,1320303
Pro,21661,29369,260696,66620,477512,501331,584263,509156,127599,219547,334758,87099,1608346,1611264
TOTAL,333336,333336,2258539,2258539,2582767,2617974,2582767,2617974,889545,471345,889545,471345,9153505,9153505
