""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Sep 30,2021"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,199583,147214,1170233,186568,1174414,872396,1157995,1162086,525374,139673,331082,259637,4081673,3244582
DII,6651,82233,28397,1322913,401,54534,0,0,0,0,2872,0,89983,1408018
FII,95309,72875,744976,610305,257621,384997,173441,191599,28077,30231,49922,24773,1541211,1122915
Pro,29327,28548,234758,58578,307620,304480,408620,262722,89348,168625,258923,54119,1134158,1071510
TOTAL,330870,330870,2178364,2178364,1740056,1616406,1740056,1616406,642799,338529,642799,338529,6847024,6847024
