""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Oct 01,2021"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,214162,153856,1199661,214126,1612295,1206745,1569211,1504012,642467,172990,407036,306586,5048320,4154827
DII,6051,84028,29080,1329231,401,55434,0,0,0,0,7903,0,90966,1421162
FII,96153,69322,746154,620918,309712,440340,221216,233781,41194,45545,70275,39388,1679098,1254900
Pro,21430,30590,251365,61985,422185,420087,554165,384813,105124,195297,303571,67858,1415487,1402982
TOTAL,337796,337796,2226260,2226260,2344592,2122606,2344592,2122606,788785,413832,788785,413832,8233871,8233871
